index,sr,size,centroid,flux,rolloff,flatness,spread,skewness,kurtosis,id
3379200,48000,4800,720.5656,1411.3575,3497.1875,0.028552713,1638.9143,9.672731,165.7121,27043b0f4
3384000,48000,4800,205.41336,214.46027,475.9375,0.0034792146,621.18036,18.73935,476.32645,a1b26bf84
3388800,48000,4800,212.79391,204.57098,394.0625,0.004989335,784.05524,17.26475,376.33627,1f1f4299a
3393600,48000,4800,356.02094,123.08852,855.3125,0.014748672,1417.9309,10.756935,140.90434,0e41d7640
3398400,48000,4800,871.59534,25.87203,4390.0,0.052375533,2665.2659,5.350655,34.336445,0b384e486
3403200,48000,4800,1005.6319,4.040856,5853.125,0.06219182,3026.892,4.6390505,25.30216,7c4173876
3408000,48000,4800,1022.69794,3.1429875,6282.8125,0.06623225,3087.6858,4.506811,24.05917,ca7ccd9f2
3412800,48000,4800,1490.8192,1.5752213,9554.0625,0.10012877,3747.214,3.5113404,15.27399,45888abfb
3417600,48000,4800,2628.886,6.050429,13900.001,0.16712618,4467.776,2.3897457,8.52274,0a78bb26d
3422400,48000,4800,1883.0015,472.2048,8374.375,0.09633023,3142.8896,3.222432,17.52864,eaa8875f9
3427200,48000,4800,654.8224,609.5802,2212.5,0.024107764,1689.551,7.664497,76.15822,f882dd599
3432000,48000,4800,562.67206,75.87856,1544.375,0.023869878,1836.8525,7.879468,72.39794,a957e5f8c
3436800,48000,4800,842.44727,14.789802,3903.125,0.039511748,2211.0674,5.5060983,38.90158,dfbd74e49
3441600,48000,4800,702.8908,8.180973,2706.25,0.03352617,2098.69,6.4534883,51.377365,070f4667d
3446400,48000,4800,676.8941,8.568219,2554.375,0.034268852,2118.8743,6.4743996,50.72471,76dc756b6
3451200,48000,4800,802.81555,62.491955,3675.0,0.045769628,2503.6428,5.761418,39.957832,ac06de620
3456000,48000,4800,1622.4747,14.732104,8681.875,0.09891249,3487.097,3.5267835,16.201254,5bdd5afd7
3460800,48000,4800,1765.8588,7.0029364,9305.625,0.10294403,3613.24,3.4695191,15.417847,625ae98b8
3465600,48000,4800,1610.4175,10.730567,9209.375,0.1017289,3640.44,3.5045915,15.517995,8e9795d6f
3470400,48000,4800,1449.1738,289.806,6620.625,0.07630994,2853.5654,4.62931,33.021908,6cb860aa6
3475200,48000,4800,609.7939,47.676193,1783.4375,0.027859936,1975.6858,7.282666,61.722332,e24cee5fb
3480000,48000,4800,710.1268,14.685796,2127.8125,0.03562186,2273.8896,6.4288106,47.735672,ae97421a9
3484800,48000,4800,813.21967,4.297177,3392.1875,0.044555888,2557.5625,5.6521606,36.923622,7d48ecbe4
3489600,48000,4800,982.4935,6.433108,5036.5625,0.058083717,2809.1821,4.909242,28.722462,07b679acf
3494400,48000,4800,719.37634,362.555,3063.125,0.032461688,1947.0294,6.691726,58.89102,d5703bd72
3499200,48000,4800,1686.1006,61.95039,8433.75,0.092203036,3296.895,3.36145,16.164879,c66666b4c
3504000,48000,4800,633.94305,904.88,2627.1875,0.034615148,2112.995,6.9311213,60.040768,b7cee7500
3508800,48000,4800,1119.6354,5.550003,7275.9375,0.073231764,3350.799,4.1579084,20.517609,1e280370f
